Table 5
Accurate Coordinates and Proper Motions for the Standard Stars

Star Name	alpha (J2000.0)	delta (J2000.0)	UCAC4	2MASS-PSC	mu_alpha		mu_delta		
SA 107-862	15 38 55.944	+00 09 48.13	451-059213	J15385594+0009480	5.8	1.0	-0.5	1.0	
SA 107-1014	15 38 59.016	+00 15 30.98	452-057147	J15385901+0015310	-10.2	1.2	-11.8	1.6	
SA 107-871	15 39 16.189	+00 08 54.53	451-059228	J15391619+0008545	-14.3	2.0	11.5	1.8	
SA 35-316	15 49 41.176	+44 35 23.77	673-060708	J15494119+4435238	4.7	0.5	-10.3	0.6	
SA 35-243	15 49 49.168	+44 27 53.56	673-060710	J15494913+4427535	-8.1	2.8	16.8	0.6	
SA 35-245	15 49 49.958	+44 31 19.49	673-060711	J15494996+4431197	-13.9	1.5	2.3	1.5	
SA 35-318	15 50 01.814	+44 33 04.74	673-060715	J15500181+4433048	-2.9	1.1	-39.1	0.5	
SA 35-491	15 50 33.186	+44 58 06.22	675-059496	J15503319+4458062	-11.8	0.8	-11.1	0.8	
SA 35-492	15 50 38.980	+45 00 37.36	676-057613	J15503898+4500374	-21.7	1.1	47.2	0.5	
SA 35-338	15 51 50.503	+44 41 51.75	674-058799	J15515050+4441517	-10.5	0.8	2.3	0.6	
SA 35-339	15 51 54.385	+44 32 29.14	673-060759	J15515438+4432292	15.1	0.8	-26.9	1.1	
SA 35-341	15 51 56.722	+44 33 24.64	673-060761	J15515672+4433247	14.2	0.6	-28.2	1.5	
SA 35-343	15 51 57.200	+44 35 26.22	673-060762	J15515720+4435263	-2.9	0.6	6.5	0.6	
SA 35-261	15 52 04.173	+44 24 58.31	673-060765	J15520416+4424585	-5.2	1.0	-1.2	1.3	
SA 35-262	15 52 05.049	+44 26 00.66	673-060766	J15520505+4426009	11.7	2.5	10.1	0.8	
SA 35-263	15 52 05.068	+44 30 01.39	673-060767	J15520506+4430016	9.6	1.3	10.6	1.6	
SA 35-264	15 52 12.896	+44 28 30.81	673-060768	J15521288+4428308	-6.4	1.6	4.9	2.0	
SA 35-265	15 52 13.784	+44 28 55.85	673-060769	J15521379+4428558	5.3	2.2	-10.7	2.5	
SA 35-266	15 52 23.534	+44 30 23.32	673-060771	J15522352+4430233	1.4	1.1	-6.3	1.4	
SA 35-267	15 52 24.277	+44 26 00.06	673-060772	J15522426+4425599	1.5	2.6	-14.8	3.1	
SA 35-518	15 53 28.862	+44 57 30.75	675-059556	J15532885+4457308	-2.2	0.6	6.1	0.5	
SA 35-526	15 54 19.828	+44 55 06.78	675-059575	J15541982+4455066	-7.8	0.9	-24.0	0.5	
SA 35-535	15 55 00.665	+44 59 20.41	675-059595	J15550065+4459205	1.8	0.5	-11.4	0.6	
SA 35-539	15 55 13.789	+44 58 15.44	675-059600	J15551379+4458153	-2.7	1.1	-57.2	1.3	
SA 108-870	16 37 45.814	-00 28 23.75	448-064178	J15391619+0008545	-13.4	2.1	2.3	2.6	
SA 108-872	16 37 49.759	-00 22 18.99	449-062476	J16374581-0028236	-8.1	1.8	-0.3	1.5	
SA 108-570	16 38 04.824	-00 35 06.86	448-064201	J16374976-0022189	-11.0	2.2	-22.8	1.3	
KUV 433-03	16 38 26.317	+35 00 11.86	626-053431	J16380482-0035067	-33.9	3.9	10.2	4.5	
KUV 433-03A	16 38 27.812	+34 59 46.59	625-052116	J16382781+3459467	9.5	3.8	-8.2	4.5	
GD 358	16 47 18.358	+32 28 32.93	613-056335	J16471839+3228328	-158.0	8.0	20.0	8.0	
GD 358A	16 47 22.314	+32 25 31.30	613-056337	J16472231+3225312	3.6	1.2	-26.5	1.4	
GD 358B	16 47 23.224	+32 23 37.16	612-053329	J16472322+3223371	-4.7	1.3	-18.2	1.2	
PG1648+536E	16 49 48.175	+53 31 30.23	718-057266	J16494817+5331303	0.0	2.7	-1.3	3.3	
PG1648+536A	16 49 57.450	+53 30 18.56	718-057269	J16495744+5330187	-4.7	2.0	-3.2	2.3	
PG1648+536	16 49 59.853	+53 31 31.75	718-057272	J16495985+5331318	0.9	1.3	-15.4	2.1	
PG1648+536B	16 50 01.154	+53 29 14.64	718-057274	J16500115+5329148	1.8	1.5	-14.1	2.6	
PG1648+536C	16 50 07.599	+53 28 49.30	718-057277	J16500759+5328494	-13.4	1.5	-11.3	1.4	
PG1648+536D	16 50 11.586	+53 26 59.73	718-057278	J16501157+5326597	-3.2	4.1	18.8	4.1	
GD 363C	17 38 26.523	+41 53 20.52	660-062324	J17382653+4153204	2.6	3.3	-3.5	3.8	
GD 363B	17 38 33.790	+41 53 30.66	660-062339	J17383380+4153306	11.5	3.2	17.8	3.6	
GD 363A	17 38 35.039	+41 53 58.16	660-062340	J17383504+4153580	2.5	1.6	4.1	1.9	
GD 363	17 38 35.667	+41 52 31.69	660-062341	J17383567+4152310	-32.0	8.0	178.0	8.0	
GD 363D	17 38 47.885	+41 54 09.16	660-062349	J17384789+4154090	-8.2	2.2	7.5	4.7	
GD 378A	18 23 30.902	+41 04 10.27	656-064727	J18233090+4104103	-10.3	2.5	4.1	2.9	
GD 378	18 23 37.012	+41 04 02.55	656-064738	J18233701+4104018	-2.0	2.0	138.0	4.0	
GD 378B	18 23 45.477	+41 05 47.88	656-064752	J18234547+4105479	5.3	2.3	3.7	2.7	
GD 378C	18 23 50.120	+41 06 43.94	656-064767	J18235012+4106440	-0.3	1.3	-26.2	1.1	
SA 38-177	18 47 34.575	+45 10 53.55	676-065649	J18473457+4510535	-2.4	0.6	-5.3	0.9	
SA 38-178	18 47 35.701	+45 10 34.03	676-065650	J18473570+4510339	19.5	4.3	6.3	2.3	
SA 38-326	18 47 40.515	+45 24 39.37	678-066502	J18474051+4524393	6.9	0.6	-0.7	0.8	
SA 38-358	18 48 23.004	+45 23 22.35	677-064253	J18482300+4523223	-0.4	0.5	6.1	0.7	
SA 38-365	18 48 32.505	+45 25 10.85	678-066598	J18483249+4525109	-2.7	1.2	-7.2	2.1	
SA 38-375	18 48 47.091	+45 24 19.78	678-066622	J18484708+4524198	-8.5	0.6	-32.7	1.2	
SA 38-377	18 48 47.755	+45 20 23.44	677-064309	J18484774+4520235	18.0	0.7	-25.3	1.0	
SA 38-382	18 48 53.856	+45 25 29.95	678-066636	J18485385+4525299	-6.3	0.9	-11.9	1.0	
SA 38-253	18 49 04.397	+45 14 13.70	677-064334	J18490439+4514136	1.4	0.8	0.3	0.6	
SA 38-391	18 49 07.115	+45 19 16.77	677-064337	J18490711+4519168	4.8	0.5	-17.6	0.8	
SA 38-269	18 49 37.723	+45 14 24.01	677-064385	J18493772+4514239	3.5	1.4	11.1	1.1	
SA 38-270	18 49 40.787	+45 09 07.01	676-065892	J18494078+4509069	4.6	0.9	10.0	0.8	
SA 38-273	18 49 46.591	+45 13 32.23	677-064402	J18494658+4513321	-3.6	0.5	-6.9	1.2	
SA 38-137	18 50 24.265	+45 06 09.47	676-065972	J18502426+4506094	-3.1	2.1	14.3	2.5	
SA 38-138	18 50 25.534	+45 06 06.38	676-065975	J18502554+4506064	4.0	3.1	-5.7	3.6	
SA 38-297	18 50 27.011	+45 07 55.90	676-065978	J18502701+4507559	-4.8	3.1	-4.2	3.4	
SA 38-298	18 50 31.101	+45 09 37.03	676-065984	J18503111+4509370	-7.9	5.2	-10.7	5.0	
SA 38-302	18 50 33.197	+45 10 43.05	676-065986	J18503321+4510431	4.4	4.8	7.2	4.5	
SA 38-303	18 50 34.221	+45 07 26.48	676-065988	J18503422+4507265	10.8	5.5	7.0	5.2	
SA 38-304	18 50 36.293	+45 09 06.83	676-065991	J18503629+4509068	-0.6	3.2	-9.2	3.5	
SA 38-149	18 50 41.729	+45 06 37.02	676-066001	J18504174+4506370	-7.8	5.3	-6.9	5.1	
SA 38-309	18 50 45.291	+45 07 42.19	676-066009	J18504529+4507421	-0.6	2.0	-4.6	2.3	
SA 38-156	18 50 46.158	+45 05 52.97	676-066011	J18504615+4505529	-5.7	5.4	-7.2	5.2	
SA 38-157	18 50 46.519	+45 06 11.51	676-066013	J18504652+4506115	2.0	5.1	3.6	4.7	
SA 38-310	18 50 48.873	+45 08 43.50	676-066019	J18504886+4508433	10.1	0.9	5.7	0.9	
SA 38-312	18 50 50.491	+45 09 36.42	676-066020	J18505049+4509363	-6.9	2.0	3.2	2.2	
GD 391F	20 29 37.183	+39 17 17.58	647-088832	J20293718+3917176	-8.5	2.9	-15.4	1.7	
GD 391E	20 29 43.642	+39 17 17.98	647-088839	J20294363+3917180	5.1	2.2	-7.8	1.7	
GD 391H	20 29 45.496	+39 18 14.26	647-088844	J20294549+3918143	7.0	2.6	-11.8	3.2	
GD 391G	20 29 45.987	+39 16 34.95	647-088846	J20294598+3916349	-6.1	2.0	0.0	2.4	
GD 391B	20 29 51.196	+39 14 20.33	647-088850	J20295119+3914203	-6.2	1.8	-7.6	2.4	
GD 391D	20 29 54.035	+39 13 43.44	647-088853	J20295403+3913434	7.4	6.1	-6.8	5.9	
GD 391A	20 29 55.304	+39 14 13.08	647-088854	J20295529+3914130	3.5	2.2	-0.9	1.4	
GD 391	20 29 56.177	+39 13 32.19	647-088856	J20295616+3913320	149.0	2.5	93.3	2.6	
GD 391C	20 30 02.922	+39 15 03.75	647-088869	J20300292+3915037	1.9	1.2	-10.3	1.9	
SA 41-620	21 53 11.306	+45 36 21.13	679-113303	J21531130+4536210	-7.6	2.4	-6.2	2.1	
SA 41-626	21 53 17.263	+45 37 24.48	679-113325	J21531726+4537245	-8.3	2.7	-5.9	1.7	
SA 41-625	21 53 17.295	+45 35 14.74	678-116201	J21531730+4535148	-2.9	2.1	-1.0	2.4	
SA 41-630	21 53 23.508	+45 38 17.36	679-113351	J21532350+4538173	10.3	5.7	3.1	5.2	
SA 41-631	21 53 24.561	+45 35 45.09	678-116226	J21532456+4535451	-4.7	1.2	-2.0	1.5	
SA 41-634	21 53 27.209	+45 35 40.95	678-116240	J21532721+4535410	-1.7	1.3	-3.1	0.4	
SA 41-637	21 53 30.416	+45 36 11.04	679-113376	J21533041+4536110	-1.5	3.2	-0.3	3.3	
SA 41-638	21 53 32.591	+45 37 00.50	679-113384	J21533258+4537005	5.6	2.4	-4.4	3.1	
SA 41-639	21 53 33.743	+45 34 20.95	678-116261	J21533374+4534209	-0.8	1.9	0.2	2.6	
SA 41-654	21 53 52.663	+45 33 07.25	678-116321	J21535265+4533072	17.8	0.8	5.0	0.5	
SA 41-660	21 53 56.878	+45 32 23.66	678-116341	J21535687+4532235	-7.0	1.4	-4.2	1.0	
SA 41-171	21 54 04.972	+45 13 13.57	677-110732	J21540496+4513136	5.0	0.6	-2.6	1.1	
SA 41-673	21 54 07.165	+45 32 38.06	678-116395	J21540716+4532380	2.8	4.2	-2.6	1.9	
SA 41-674	21 54 07.517	+45 32 07.05	678-116397	J21540751+4532070	23.1	2.3	-15.0	3.0	
SA 41-179	21 54 10.448	+45 16 31.11	677-110756	J21541044+4516310	-1.5	0.7	-8.2	0.8	
SA 41-182	21 54 12.587	+45 14 36.50	677-110769	J21541258+4514364	7.2	0.6	-3.4	0.6	
SA 41-190	21 54 18.195	+45 15 22.57	677-110799	J21541819+4515225	8.0	0.6	12.2	0.6	
SA 41-204	21 54 31.607	+45 13 51.39	677-110869	J21543159+4513512	5.3	1.1	-7.0	1.1	
GD 405	23 16 43.875	+47 27 15.57	688-127404	J23164386+4727155	113.9	5.7	47.3	5.3	
GD 405A	23 16 44.966	+47 26 59.90	688-127407	J23164495+4726599	-5.1	4.4	-3.6	4.5	
GD 251	23 34 20.865	+29 18 36.99	597-139245	J23342086+2918366	-68.0	1.0	-122.0	2.0	

